location,date,stringency_index,reproduction_rate,new_deaths_smoothed_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,human_development_index,%_of_mixed_sentiments,%_of_negative_sentiments,%_of_neutral_sentiments,%_of_positive_sentiments
Taiwan,13/1/2022,20.37,1.34,0.006,"","","",1.960784314,25.49019608,66.66666667,5.882352941
Hong Kong,13/1/2022,65.74,"",0,-,67.35,0.949,35.02673797,59.62566845,5.347593583,0.00E+00
China,13/1/2022,79.17,0.97,0,-,"",0.761,1.898734177,40.50632911,53.37552743,4.219409283
Brazil,13/1/2022,61.57,1.96,0.785,-,77.96,0.765,1.395348837,38.13953488,53.48837209,6.976744186
France,13/1/2022,69.44,1.29,3.216,34.692,79.31,0.901,0.731707317,40.97560976,52.92682927,5.365853659
New Zealand,13/1/2022,62.96,1.08,0.028,-,77.72,0.931,0.989119683,39.46587537,52.22551929,7.319485658
South Korea,13/1/2022,45.37,1.03,0.911,"",86.79,0.916,0.961538462,28.84615385,60.57692308,9.615384615
Japan,13/1/2022,47.22,2.74,0.019,-,80.26,0.919,1.343283582,31.19402985,60.89552239,6.567164179
India,13/1/2022,72.69,1.9,0.233,-,64.81,0.645,0.462516863,25.0915398,64.52110233,9.92484101
Canada,13/1/2022,78.24,0.95,3.498,-,84.03,0.929,0.937126146,47.59404493,46.14515486,5.323674066
South Africa,13/1/2022,41.67,0.65,2.087,"","",0.709,0.687929956,36.14759225,57.34834271,5.816135084
Egypt,13/1/2022,43.52,1.16,0.248,-,"",0.707,0.497512438,35.82089552,57.71144279,5.970149254
Argentina,13/1/2022,35.19,1.41,1.322,-,86.73,0.845,1.619433198,33.19838057,60.72874494,4.453441296
Singapore,25/1/2022,60.19,1.85,0.183,"",90.02,0.938,0.704225352,29.57746479,63.38028169,6.338028169
United States,25/1/2022,58.8,0.81,7.161,"",75.44,0.926,0.844067387,47.36261273,45.04940251,6.743917369
Italy,25/1/2022,76.85,0.94,5.959,15.273,82.76,0.892,0.735970561,39.46642134,51.51793928,8.279668813
Germany,25/1/2022,84.26,1.43,1.904,13.838,75,0.947,1.042100875,36.76531888,53.48061692,8.711963318
Norway,25/1/2022,48.15,1.33,0.863,-,78.91,0.957,0.715990453,31.50357995,59.66587112,8.114558473
United Kingdom,25/1/2022,46.76,1.07,3.868,"",76.63,0.932,0.773606036,43.00365437,50.24460686,5.978132736
Australia,25/1/2022,66.2,0.8,2.526,-,83.27,0.944,0.891297802,45.26347486,45.84763625,7.997591087
Taiwan,25/1/2022,27.78,1.12,0,"",79.73,"",1.438848921,26.97841727,66.90647482,4.676258993
Hong Kong,25/1/2022,65.74,"",0,-,69.96,0.949,0.723589001,28.21997106,66.42547033,4.630969609
China,25/1/2022,64.35,1.1,0,-,"",0.761,1.070950469,42.1686747,50.46854083,6.291834003
Brazil,25/1/2022,61.57,1.45,1.553,-,78.76,0.765,1.31147541,36.55737705,54.26229508,7.868852459
France,25/1/2022,69.44,1.06,3.926,30.168,79.66,0.901,0.968342644,38.58472998,53.74301676,6.703910615
New Zealand,25/1/2022,62.04,1.37,0,-,80.12,0.931,1.329001772,40.28352038,50.3248671,8.06261075
South Korea,25/1/2022,50.93,1.78,0.468,"",87.05,0.916,1.891891892,30.27027027,57.56756757,10.27027027
Japan,25/1/2022,47.22,1.74,0.141,-,"",0.919,1.053370787,32.16292135,59.48033708,7.303370787
India,25/1/2022,83.8,1.06,0.402,-,66.93,0.645,0.518722645,25.23909872,62.8897174,11.35246123
Canada,25/1/2022,78.24,0.76,4.132,-,84.68,0.929,0.89122828,47.52519664,44.48664653,7.096928552
South Africa,25/1/2022,41.67,0.8,"","","",0.709,0.812763396,33.92534618,59.15111379,6.110776641
Egypt,25/1/2022,43.52,1.29,0.31,-,"",0.707,1.033591731,32.2997416,56.84754522,9.819121447
Argentina,25/1/2022,35.19,0.83,4.019,-,87.68,0.845,0.923787529,31.63972286,52.65588915,14.78060046
Singapore,12/2/2022,60.19,1.41,0.707,"",90.9,0.938,1.688555347,27.01688555,62.28893058,9.005628518
United States,12/2/2022,58.8,0.55,7.16,"",76.2,0.926,0.876219738,46.12671048,48.05553185,4.941537936
Italy,12/2/2022,76.85,0.69,5.4,10.188,83.66,0.892,1.076716016,35.53162853,57.46971736,5.921938089
Germany,12/2/2022,84.26,1.05,2.045,19.976,75.5,0.947,0.99009901,38.73034362,53.64006989,6.639487478
Norway,12/2/2022,13.89,0.98,1.202,"",79.15,0.957,1.261829653,41.32492114,49.84227129,7.570977918
United Kingdom,12/2/2022,39.35,0.73,2.675,"",76.98,0.932,0.791130425,42.16948019,50.86077219,6.178617193
Australia,12/2/2022,55.56,0.82,2.177,-,84.95,0.944,0.93855404,52.5516938,41.17172606,5.338026104
Taiwan,12/2/2022,27.78,1.03,0,"","","",1.005025126,28.14070352,61.30653266,9.547738693
Hong Kong,12/2/2022,65.74,"",0.113,-,74.17,0.949,1.133144476,32.8611898,60.90651558,5.099150142
China,12/2/2022,64.35,2.25,0,-,"",0.761,0.768049155,40.24577573,55.14592934,3.840245776
Brazil,12/2/2022,61.57,0.86,4.173,-,81.37,0.765,0.51369863,30.30821918,64.04109589,5.136986301
France,12/2/2022,69.44,0.68,4.92,25.793,79.94,0.901,1.258680556,33.76736111,59.24479167,5.729166667
New Zealand,12/2/2022,62.04,2.11,0,-,82.42,0.931,1.515711645,46.87615527,43.54898336,8.059149723
South Korea,12/2/2022,46.3,1.55,0.579,4.522,87.27,0.916,2.510460251,19.24686192,68.20083682,10.041841
Japan,12/2/2022,47.22,0.91,1.089,-,"",0.919,1.246404602,28.09204219,64.71716203,5.944391179
India,12/2/2022,75.46,0.4,0.685,-,68.68,0.645,0.606934224,25.92367802,67.2027919,6.266595858
Canada,12/2/2022,76.39,0.75,2.405,-,"",0.929,0.907299065,46.59137127,46.74780215,5.753527516
South Africa,12/2/2022,41.67,0.9,2.779,"",33.22,0.709,0.914848698,31.42153413,61.04855735,6.615059817
Egypt,12/2/2022,43.52,1.01,0.569,-,"",0.707,1.185770751,33.20158103,58.49802372,7.114624506
Argentina,12/2/2022,35.19,0.53,4.395,-,88.78,0.845,1.796407186,30.23952096,61.37724551,6.586826347
Singapore,15/1/2022,50,1.58,0.157,"",89.04,0.938,1.265822785,32.27848101,59.17721519,7.278481013
United States,15/1/2022,53.24,1.1,6.051,"",74.83,0.926,0.964764227,47.99024817,44.73755496,6.307432644
Italy,15/1/2022,76.85,1.16,4.674,17.062,81.87,0.892,1.219512195,40.48780488,53.41463415,4.87804878
Germany,15/1/2022,84.26,1.39,2.847,13.051,74.52,0.947,0.761179829,39.20076118,52.71170314,7.326355852
Norway,15/1/2022,48.15,1.43,0.81,-,78.77,0.957,0.609756098,51.2195122,43.90243902,4.268292683
United Kingdom,15/1/2022,48.61,0.85,3.868,"",76.39,0.932,0.677623991,47.18137255,45.26744521,6.873558247
Australia,15/1/2022,45.83,1.22,1.701,-,81.07,0.944,0.96798213,53.42803139,37.07543387,8.528552609
Taiwan,15/1/2022,20.37,1.3,0.006,"","","",1.587301587,30.68783069,47.08994709,20.63492063
Hong Kong,15/1/2022,65.74,"",0,-,67.83,0.949,0.898203593,33.23353293,61.37724551,4.491017964
China,15/1/2022,79.17,0.91,0,-,"",0.761,0.67114094,38.25503356,57.04697987,4.026845638
Brazil,15/1/2022,61.57,1.8,0.865,-,78,0.765,0.829875519,37.7593361,56.01659751,5.394190871
France,15/1/2022,69.44,1.25,3.225,33.609,79.4,0.901,0.968523002,41.56577885,51.41242938,6.053268765
New Zealand,15/1/2022,62.96,1.11,0.028,-,77.76,0.931,1.57635468,40.49261084,51.03448276,6.896551724
South Korea,15/1/2022,45.37,1.11,0.76,6.023,86.86,0.916,1.123595506,39.3258427,52.80898876,6.741573034
Japan,15/1/2022,47.22,2.57,0.035,-,"",0.919,0.927152318,35.09933775,56.29139073,7.682119205
India,15/1/2022,72.69,1.69,0.233,-,65.16,0.645,0.542605614,32.88300759,59.79735341,6.777033387
Canada,15/1/2022,78.24,0.89,4.214,-,84.16,0.929,0.819232831,46.26751397,46.41298522,6.500267973
South Africa,15/1/2022,41.67,0.64,2.158,"","",0.709,0.721020521,39.43427621,52.30171936,7.542983916
Egypt,15/1/2022,43.52,1.21,0.253,-,35.4,0.707,3.100775194,48.8372093,42.63565891,5.426356589
Argentina,15/1/2022,35.19,1.3,1.641,-,86.89,0.845,0.497512438,35.82089552,55.72139303,7.960199005
Singapore,17/1/2022,50,1.76,0.131,"",89.27,0.938,1.047904192,27.24550898,63.0239521,8.682634731
United States,17/1/2022,53.24,1.02,5.691,"",74.93,0.926,0.85059803,46.43743033,46.09799452,6.613977123
Italy,17/1/2022,76.85,1.11,5.031,16.963,82.07,0.892,0.964320154,37.31918997,53.90549662,7.81099325
Germany,17/1/2022,84.26,1.4,2.758,12.634,74.59,0.947,1.449275362,39.01601831,50.91533181,8.619374523
Norway,17/1/2022,48.15,1.43,0.836,-,78.78,0.957,1.170960187,40.28103044,50.58548009,7.962529274
United Kingdom,17/1/2022,48.61,0.83,3.873,"",76.43,0.932,0.672180451,50.37593985,41.38496241,7.566917293
Australia,17/1/2022,63.43,1.04,1.983,-,81.47,0.944,1.129143382,47.77998928,43.96003981,7.130827528
Taiwan,17/1/2022,20.37,1.26,0.006,"",79.15,"",1.379310345,37.93103448,55.51724138,5.172413793
Hong Kong,17/1/2022,65.74,"",0,-,68.19,0.949,0.547445255,31.93430657,59.67153285,7.846715328
China,17/1/2022,79.17,0.84,0,-,"",0.761,1.006711409,36.12975391,56.93512304,5.928411633
Brazil,17/1/2022,61.57,1.79,0.742,-,78.19,0.765,0.862068966,25.24630542,68.22660099,5.665024631
France,17/1/2022,69.44,1.22,3.276,32.764,79.44,0.901,0.868263473,32.30538922,61.19760479,5.628742515
New Zealand,17/1/2022,62.96,1.14,0.028,-,78.08,0.931,1.041173687,40.5584477,51.49077142,6.909607194
South Korea,17/1/2022,50.93,1.2,0.735,"",86.89,0.916,0.584795322,31.57894737,59.64912281,8.187134503
Japan,17/1/2022,47.22,2.23,0.036,-,80.3,0.919,1.861702128,35.10638298,55.23049645,7.80141844
India,17/1/2022,72.69,1.53,0.261,-,65.49,0.645,0.57233812,33.71037659,57.48442157,8.232863723
Canada,17/1/2022,74.54,0.84,4.177,-,84.29,0.929,0.898321816,43.22145443,47.92694965,7.953274103
South Africa,17/1/2022,41.67,0.65,2.191,"",32.01,0.709,0.813861906,38.0414807,54.76503019,6.379627199
Egypt,17/1/2022,43.52,1.24,0.252,-,"",0.707,0.609756098,30.28455285,62.19512195,6.910569106
Argentina,17/1/2022,35.19,1.19,2.155,-,87.03,0.845,0.954653938,33.8902148,58.94988067,6.205250597
Singapore,23/2/2022,60.19,1.23,0.969,14.853,91.29,0.938,1.36239782,31.60762943,59.80926431,7.220708447
United States,23/2/2022,58.8,0.57,5.436,"",76.48,0.926,0.831723095,42.09695035,49.85969924,7.211627321
Italy,23/2/2022,76.85,0.75,4.264,7.769,83.83,0.892,0.135869565,40.76086957,50.4076087,8.695652174
Germany,23/2/2022,84.26,0.94,2.443,18.689,75.63,0.947,0.495356037,39.00928793,52.26006192,8.235294118
Norway,23/2/2022,11.11,0.87,1.307,"",79.2,0.957,1.470588235,39.70588235,48.16176471,10.66176471
United Kingdom,23/2/2022,29.63,0.76,1.975,"",77.12,0.932,0.85748503,44.75449102,46.54371257,7.844311377
Australia,23/2/2022,51.39,1,1.468,-,85.37,0.944,0.70008643,45.22904062,46.56006914,7.510803803
Taiwan,23/2/2022,27.78,1.04,0,"",80.96,"",0.704225352,16.90140845,69.01408451,13.38028169
Hong Kong,23/2/2022,71.3,"",2.988,-,79.49,0.949,1.264488936,32.56059009,61.64383562,4.531085353
China,23/2/2022,64.35,2.05,0,-,"",0.761,0.483091787,28.98550725,63.44605475,7.085346216
Brazil,23/2/2022,69.91,0.75,3.75,-,82.68,0.765,0.683371298,28.70159453,45.78587699,24.82915718
France,23/2/2022,69.44,0.68,3.462,17.961,80.01,0.901,0.724233983,36.82451253,49.80501393,12.64623955
New Zealand,23/2/2022,62.04,2.41,0.084,-,82.89,0.931,1.172332943,43.84525205,47.06916764,7.913247362
South Korea,23/2/2022,46.3,1.61,1.256,"",87.42,0.916,0.766283525,27.5862069,59.38697318,12.2605364
Japan,23/2/2022,47.22,0.83,1.812,-,"",0.919,1.077844311,30.17964072,57.60479042,11.13772455
India,23/2/2022,71.76,0.34,0.257,-,69.17,0.645,0.614904552,35.07709251,55.43318649,8.874816446
Canada,23/2/2022,68.98,0.83,1.28,-,85.48,0.929,0.799266914,45.6345772,47.08547574,6.480680141
South Africa,23/2/2022,37.96,0.88,3.469,"",33.73,0.709,0.639386189,36.76470588,56.26598465,6.329923274
Egypt,23/2/2022,43.52,0.9,0.507,-,"",0.707,0.396825397,25.79365079,60.71428571,13.0952381
Argentina,23/2/2022,35.19,0.59,3.164,-,89.25,0.845,0.819672131,25.40983607,37.70491803,36.06557377
Singapore,26/1/2022,60.19,1.76,0.157,"",90.1,0.938,1.363636364,26.66666667,65.3030303,6.666666667
United States,26/1/2022,58.8,0.79,7.331,"",75.51,0.926,0.85366188,47.13511439,45.75956714,6.251656598
Italy,26/1/2022,76.85,0.9,6.07,15.091,82.83,0.892,0.902708124,42.82848546,49.64894684,6.619859579
Germany,26/1/2022,84.26,1.42,1.779,14.172,75.05,0.947,1.113402062,41.27835052,49.93814433,7.670103093
Norway,26/1/2022,45.37,1.3,0.706,-,78.93,0.957,0.819672131,42.34972678,48.08743169,8.743169399
United Kingdom,26/1/2022,46.76,1.13,3.841,"",76.65,0.932,0.787428071,47.72520779,45.00959047,6.477773665
Australia,26/1/2022,66.2,0.8,2.77,-,83.33,0.944,1.161630559,47.12086659,45.39623717,6.321265678
Taiwan,26/1/2022,27.78,1.11,0,"",79.84,"",1.127819549,26.69172932,61.27819549,10.90225564
Hong Kong,26/1/2022,65.74,"",0,-,70.18,0.949,0.983606557,33.1147541,61.14754098,4.754098361
