location,date,stringency_index,reproduction_rate,new_deaths_smoothed_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,human_development_index,%_of_mixed_sentiments,%_of_negative_sentiments,%_of_neutral_sentiments,%_of_positive_sentiments
South Africa,21/2/2022,37.96,0.89,3.697,"","",0.709,0.766016713,35.51532033,57.52089136,6.197771588
Egypt,21/2/2022,43.52,0.93,0.544,-,"",0.707,1.62601626,34.14634146,55.69105691,8.536585366
Argentina,21/2/2022,35.19,0.6,3.452,-,89.15,0.845,1.53256705,26.43678161,61.68582375,10.34482759
Singapore,18/2/2022,60.19,1.37,1.362,11.919,91.14,0.938,1.449275362,25.54347826,66.84782609,6.15942029
United States,18/2/2022,58.8,0.54,6.748,"",76.36,0.926,0.826050521,46.34529178,46.97979435,5.848863349
Italy,18/2/2022,76.85,0.72,4.83,7.984,83.77,0.892,1.075268817,36.96236559,53.49462366,8.467741935
Germany,18/2/2022,84.26,0.97,2.236,19.773,75.58,0.947,1.233905579,40.93347639,49.67811159,8.154506438
Norway,18/2/2022,11.11,0.88,0.915,"",79.19,0.957,1.244813278,36.92946058,53.94190871,7.883817427
United Kingdom,18/2/2022,29.63,0.71,2.157,"",77.06,0.932,0.917250499,43.81137278,46.11293998,9.158436735
Australia,18/2/2022,51.39,0.95,1.856,-,85.18,0.944,0.925517849,48.58527986,44.97135302,5.517849273
Taiwan,18/2/2022,27.78,1.03,0.006,"",80.82,"",34.07821229,55.30726257,10.61452514,0.00E+00
Hong Kong,18/2/2022,71.3,"",0.813,-,77.16,0.949,0.962309543,36.48757017,57.33761026,5.212510024
China,18/2/2022,64.35,2.36,0,-,87.81,0.761,0.522193211,36.1618799,56.13577023,7.180156658
Brazil,18/2/2022,69.91,0.79,3.921,-,82.21,0.765,0.913242009,37.67123288,52.51141553,8.904109589
France,18/2/2022,69.44,0.67,4.049,21.936,79.99,0.901,1.252041372,37.34349483,53.67446924,7.729994556
New Zealand,18/2/2022,62.04,2.28,0,-,82.68,0.931,1.293961513,45.38818845,47.11347047,6.204379562
South Korea,18/2/2022,46.3,1.61,0.86,"",87.37,0.916,1.302931596,16.61237785,74.91856678,7.166123779
Japan,18/2/2022,47.22,0.93,1.562,-,"",0.919,1.295896328,31.3174946,58.96328294,8.423326134
India,18/2/2022,71.76,0.35,0.333,-,69.02,0.645,0.58237007,27.9096444,62.25183094,9.256154593
Canada,18/2/2022,76.39,0.73,1.873,-,85.41,0.929,0.936636913,47.58435736,45.67105632,5.807949406
South Africa,18/2/2022,41.67,0.91,3.443,"","",0.709,0.894245723,39.58009331,50.23328149,9.292379471
Egypt,18/2/2022,43.52,0.98,0.547,-,"",0.707,0.331125828,33.77483444,57.28476821,8.609271523
Argentina,18/2/2022,35.19,0.57,3.768,-,89.07,0.845,0.73800738,32.84132841,56.82656827,9.594095941
Singapore,19/1/2022,60.19,2.02,0.131,"",89.4,0.938,1.063829787,30.24316109,60.79027356,7.902735562
United States,19/1/2022,58.8,1.03,6.053,"",75.08,0.926,0.967921063,42.56887788,50.0576652,6.405535859
Italy,19/1/2022,76.85,1.06,5.521,16.019,82.26,0.892,0.841750842,39.14141414,55.38720539,4.62962963
Germany,19/1/2022,84.26,1.45,2.292,12.348,74.72,0.947,0.942684766,36.50075415,56.18401207,6.37254902
Norway,19/1/2022,48.15,1.43,1.045,"",78.83,0.957,1.834862385,33.94495413,55.65749235,8.562691131
United Kingdom,19/1/2022,48.61,0.89,3.91,"",76.49,0.932,0.90457319,48.36258414,44.48889728,6.243945399
Australia,19/1/2022,63.43,0.9,2.039,-,82.01,0.944,0.800947207,49.73533918,43.87449506,5.589218554
Taiwan,19/1/2022,20.37,1.22,0.006,"",79.29,"",0.677966102,38.98305085,56.27118644,4.06779661
Hong Kong,19/1/2022,65.74,"",0,-,68.61,0.949,0.214132762,47.96573876,48.71520343,3.104925054
China,19/1/2022,79.17,0.78,0,-,"",0.761,1.277139208,34.86590038,59.38697318,4.469987229
Brazil,19/1/2022,61.57,1.79,0.991,-,78.3,0.765,0.62992126,29.29133858,65.51181102,4.566929134
France,19/1/2022,69.44,1.19,2.852,30.153,79.52,0.901,0.716064757,40.97135741,52.86425903,5.448318804
New Zealand,19/1/2022,60.19,1.2,0,-,78.62,0.931,1.763964721,37.75724486,53.59092818,6.887862243
South Korea,19/1/2022,50.93,1.33,0.752,"",86.94,0.916,2.702702703,28.82882883,64.41441441,4.054054054
Japan,19/1/2022,47.22,2.07,0.057,-,80.33,0.919,0.907029478,29.40287226,63.71882086,5.9712774
India,19/1/2022,83.8,1.42,0.273,-,65.96,0.645,0.423006296,27.04944911,62.57214061,9.955403987
Canada,19/1/2022,78.24,0.79,4.361,-,84.4,0.929,0.933774378,42.86058852,49.4211288,6.784508304
South Africa,19/1/2022,41.67,0.64,1.763,"",32.13,0.709,2.088513178,33.39134759,58.92590751,5.594231726
Egypt,19/1/2022,43.52,1.26,0.269,-,"",0.707,0.883002208,33.11258278,58.05739514,7.947019868
Argentina,19/1/2022,35.19,1.09,3.001,-,87.24,0.845,0.811359026,32.65720081,58.82352941,7.707910751
Singapore,20/1/2022,60.19,2.18,0.157,"",89.49,0.938,2.056074766,24.85981308,65.98130841,7.102803738
United States,20/1/2022,58.8,0.99,6.214,"",75.15,0.926,0.936210998,42.36397556,50.73339381,5.966419635
Italy,20/1/2022,76.85,1.03,5.684,16.002,82.35,0.892,0.299850075,39.28035982,53.22338831,7.196401799
Germany,20/1/2022,84.26,1.48,2.152,12.193,74.79,0.947,1.608187135,35.5994152,56.35964912,6.432748538
Norway,20/1/2022,48.15,1.44,0.836,"",78.86,0.957,0.448430493,43.04932735,50.67264574,5.829596413
United Kingdom,20/1/2022,46.76,0.92,3.904,"",76.51,0.932,0.793096456,44.42692022,48.59518284,6.184800487
Australia,20/1/2022,63.43,0.86,2.249,-,82.28,0.944,0.838552171,47.59048933,44.48041609,7.090542405
Taiwan,20/1/2022,20.37,1.2,0,"",79.36,"",0.507614213,32.99492386,57.8680203,8.629441624
Hong Kong,20/1/2022,65.74,"",0,-,68.81,0.949,44.70588235,51.32352941,3.970588235,0.00E+00
China,20/1/2022,79.17,0.79,0,-,"",0.761,0.936329588,32.39700375,59.5505618,7.116104869
Brazil,20/1/2022,61.57,1.72,1.099,-,78.39,0.765,0.289017341,32.94797688,58.09248555,8.670520231
France,20/1/2022,69.44,1.17,3.356,29.664,79.55,0.901,0.767414404,34.35655254,59.68122786,5.194805195
New Zealand,20/1/2022,60.19,1.21,0,-,78.88,0.931,1.712170292,39.70384081,51.22628413,7.357704766
South Korea,20/1/2022,50.93,1.38,0.674,"",86.96,0.916,1.960784314,34.31372549,53.92156863,9.803921569
Japan,20/1/2022,47.22,1.95,0.062,-,80.35,0.919,0.971817298,32.16715258,59.76676385,7.094266278
India,20/1/2022,83.8,1.37,0.302,-,66.17,0.645,0.728474016,26.18271145,64.96548219,8.123332345
Canada,20/1/2022,78.24,0.77,4.413,-,84.42,0.929,0.933566223,44.66060351,46.99150756,7.414322713
South Africa,20/1/2022,41.67,0.72,2.039,"",32.19,0.709,0.761904762,40.22222222,54.15873016,4.857142857
Egypt,20/1/2022,43.52,1.27,0.27,-,"",0.707,0.701754386,35.43859649,59.29824561,4.561403509
Argentina,20/1/2022,35.19,1.06,3.136,-,87.34,0.845,29.57198444,61.47859922,8.949416342,0.00E+00
Singapore,22/2/2022,60.19,1.26,1.126,15.403,91.27,0.938,2.547770701,28.50318471,62.10191083,6.847133758
United States,22/2/2022,58.8,0.56,5.476,"",76.45,0.926,0.842070351,41.55626393,50.78955612,6.812109598
Italy,22/2/2022,76.85,0.75,4.326,7.67,83.82,0.892,0.458015267,37.55725191,54.50381679,7.480916031
Germany,22/2/2022,84.26,0.95,2.355,19.094,75.62,0.947,1.053864169,37.93911007,53.57142857,7.43559719
Norway,22/2/2022,11.11,0.87,0.941,"",79.2,0.957,2.380952381,40.87301587,50.79365079,5.952380952
United Kingdom,22/2/2022,29.63,0.72,2.046,"",77.1,0.932,0.893119273,45.95083208,46.26450546,6.89154318
Australia,22/2/2022,51.39,1,1.656,-,85.33,0.944,1.045042126,43.38950097,48.05573558,7.509721322
Taiwan,22/2/2022,27.78,1.04,0,"",80.93,"",0.552486188,27.62430939,64.64088398,7.182320442
Hong Kong,22/2/2022,71.3,"",2.118,-,78.89,0.949,0.327868852,34.75409836,59.75409836,5.163934426
China,22/2/2022,64.35,2.08,0,-,"",0.761,1.484480432,36.97705803,55.87044534,5.668016194
Brazil,22/2/2022,69.91,0.76,3.778,-,82.54,0.765,0.245098039,34.31372549,52.94117647,12.5
France,22/2/2022,69.44,0.68,4.422,18.406,80.01,0.901,1.097178683,39.28944619,50.99268548,8.620689655
New Zealand,22/2/2022,62.04,2.37,0.084,-,82.86,0.931,1.123595506,43.75780275,47.97128589,7.147315855
South Korea,22/2/2022,46.3,1.65,1.128,"",87.41,0.916,2.298850575,20.68965517,62.83524904,14.17624521
Japan,22/2/2022,47.22,0.9,1.794,-,"",0.919,1.078167116,29.38005391,59.70350404,9.838274933
India,22/2/2022,71.76,0.35,0.282,-,69.15,0.645,0.420659032,36.86219522,56.62537976,6.091765989
Canada,22/2/2022,68.98,0.8,1.25,-,85.48,0.929,0.796469702,46.37821548,46.97556775,5.849747067
South Africa,22/2/2022,37.96,0.89,3.419,"",33.66,0.709,0.687757909,36.62310867,56.43053645,6.258596974
Egypt,22/2/2022,43.52,0.92,0.537,-,"",0.707,0.398406375,28.28685259,65.33864542,5.976095618
Argentina,22/2/2022,35.19,0.6,3.236,-,89.2,0.845,0.381679389,27.09923664,55.72519084,16.79389313
Singapore,22/1/2022,60.19,2.18,0.105,"",89.77,0.938,1.428571429,31.78571429,60.89285714,5.892857143
United States,22/1/2022,58.8,0.93,6.477,"",75.29,0.926,1.000219829,46.99634285,43.87178001,8.131657307
Italy,22/1/2022,76.85,1,5.774,15.869,82.56,0.892,0.911577028,37.01002735,54.60346399,7.474931632
Germany,22/1/2022,84.26,1.48,1.859,12.551,74.9,0.947,1.020861074,41.36706613,50.11096316,7.501109632
Norway,22/1/2022,48.15,1.42,0.863,"",78.88,0.957,1.017811705,42.23918575,47.32824427,9.41475827
United Kingdom,22/1/2022,46.76,0.97,3.959,"",76.57,0.932,1.12002556,48.70779935,43.75199688,6.42017821
Australia,22/1/2022,66.2,0.83,2.482,-,82.69,0.944,0.919870037,52.20051479,40.57133212,6.30828305
Taiwan,22/1/2022,27.78,1.18,0,"","","",1.459854015,32.48175182,59.12408759,6.934306569
Hong Kong,22/1/2022,65.74,"",0,-,69.31,0.949,0.737100737,37.34643735,55.77395577,6.142506143
China,22/1/2022,79.17,0.91,0,-,"",0.761,0.491400491,42.50614251,53.07125307,3.931203931
Brazil,22/1/2022,61.57,1.61,1.307,-,78.51,0.765,0.156739812,34.169279,55.01567398,10.65830721
France,22/1/2022,69.44,1.13,3.486,29.886,79.61,0.901,0.827015851,41.14403859,50.68917988,7.339765679
New Zealand,22/1/2022,60.19,1.26,0,-,79.35,0.931,1.671641791,35.97014925,54.62686567,7.731343284
South Korea,22/1/2022,50.93,1.51,0.64,4.386,87.01,0.916,2.643171806,48.01762115,41.85022026,7.488986784
Japan,22/1/2022,47.22,1.86,0.073,-,"",0.919,0.980392157,35.20499109,56.32798574,7.486631016
India,22/1/2022,83.8,1.25,0.343,-,66.61,0.645,2.257257037,27.7677748,60.79662729,9.178340872
Canada,22/1/2022,78.24,0.76,4.113,-,84.51,0.929,1.12548861,45.87882464,46.13492384,6.860762906
South Africa,22/1/2022,41.67,0.72,1.868,"",32.27,0.709,0.542775911,51.77048333,42.8534505,4.833290256
Egypt,22/1/2022,43.52,1.29,0.284,-,"",0.707,0.307692308,31.38461538,58.15384615,10.15384615
Argentina,22/1/2022,35.19,1,3.49,-,87.47,0.845,1.834862385,36.69724771,54.49541284,6.972477064
Singapore,17/2/2022,60.19,1.41,1.257,10.452,91.1,0.938,1.659125189,23.83107089,67.87330317,6.636500754
United States,17/2/2022,58.8,0.53,6.835,"",76.33,0.926,0.836679585,41.63250458,50.99408168,6.536734151
Italy,17/2/2022,76.85,0.7,4.877,8.78,83.75,0.892,1.41025641,36.02564103,55.38461538,7.179487179
Germany,17/2/2022,84.26,0.97,2.171,20.083,75.56,0.947,1.142204455,36.60765277,54.0262707,8.223872073
Norway,17/2/2022,13.89,0.88,0.915,"",79.19,0.957,0.980392157,38.23529412,52.2875817,8.496732026
United Kingdom,17/2/2022,29.63,0.69,2.231,"",77.05,0.932,1.128840828,41.82513517,48.66939206,8.37663194
Australia,17/2/2022,51.39,0.93,1.961,-,85.13,0.944,1.143656409,44.60259997,48.23103505,6.022708573
Taiwan,17/2/2022,27.78,1.03,0.006,"",80.77,"",0.980392157,32.84313725,60.29411765,5.882352941
Hong Kong,17/2/2022,71.3,"",0.416,-,76.56,0.949,0.636942675,39.09235669,54.93630573,5.334394904
China,17/2/2022,64.35,2.49,0,-,"",0.761,0.607902736,34.49848024,58.5106383,6.382978723
Brazil,17/2/2022,69.91,0.79,3.884,-,81.88,0.765,1.149425287,31.72413793,56.7816092,10.34482759
France,17/2/2022,69.44,0.66,3.973,22.663,79.98,0.901,0.630733945,38.13073394,53.21100917,8.027522936
New Zealand,17/2/2022,62.04,2.28,0,-,82.63,0.931,1.383265857,41.29554656,50.67476383,6.646423752
South Korea,17/2/2022,46.3,1.69,0.755,"",87.35,0.916,1.712328767,19.8630137,68.83561644,9.589041096
Japan,17/2/2022,47.22,0.94,1.494,-,80.58,0.919,1.018329939,28.71690428,62.72912424,7.535641548
India,17/2/2022,71.76,0.35,0.382,-,68.97,0.645,0.474871389,24.62208152,65.9833795,8.91966759
Canada,17/2/2022,76.39,0.72,2.026,-,85.36,0.929,1.323809154,43.26643115,49.08963857,6.320121123
South Africa,17/2/2022,41.67,0.92,2.974,"",33.46,0.709,0.584594223,44.42916094,48.03988996,6.946354883
Egypt,17/2/2022,43.52,1,0.559,-,"",0.707,0.766283525,32.56704981,60.1532567,6.513409962
Argentina,17/2/2022,35.19,0.56,3.812,-,89.02,0.845,0.381679389,26.71755725,63.35877863,9.541984733
Singapore,25/2/2022,60.19,1.15,1.284,15.586,91.36,0.938,2.600472813,28.60520095,55.55555556,13.23877069
United States,25/2/2022,58.8,0.59,5.277,"",76.53,0.926,0.756017672,43.06444241,50.47989031,5.699649604
Italy,25/2/2022,76.85,0.75,3.81,7.62,83.85,0.892,1.012145749,38.25910931,53.44129555,7.287449393
Germany,25/2/2022,84.26,0.95,2.348,18.343,75.65,0.947,0.758725341,44.68892261,47.34446131,7.207890744
Norway,25/2/2022,11.11,0.86,1.307,"",79.21,0.957,2.898550725,46.85990338,43.47826087,6.763285024
United Kingdom,25/2/2022,29.63,0.83,1.778,"",77.14,0.932,1.025108944,43.9634779,47.00975306,8.001660095
Australia,25/2/2022,51.39,1.02,1.402,-,85.45,0.944,1.362044364,45.03826696,46.34842392,7.251264755
Taiwan,25/2/2022,27.78,1.04,0.006,"",81.03,"",33.62068966,62.93103448,3.448275862,0.00E+00
Hong Kong,25/2/2022,71.3,"",4.502,-,80.56,0.949,0.952380952,33.19727891,61.9047619,3.945578231
China,25/2/2022,64.35,2.12,0,-,87.89,0.761,0.179533214,40.03590664,54.93716338,4.847396768
Brazil,25/2/2022,69.91,0.7,3.442,-,82.92,0.765,1.572327044,32.0754717,55.34591195,11.00628931
France,25/2/2022,69.44,0.7,3.202,15.544,80.03,0.901,0.586080586,39.34065934,52.45421245,7.619047619
New Zealand,25/2/2022,62.04,2.39,0.084,-,82.99,0.931,1.546993579,43.49095155,46.73088149,8.23117338
South Korea,25/2/2022,46.3,1.47,1.506,"",87.45,0.916,1.754385965,22.80701754,69.00584795,6.432748538
Japan,25/2/2022,47.22,0.8,1.816,-,"",0.919,0.831946755,34.77537438,56.57237937,7.820299501
India,25/2/2022,71.76,0.34,0.231,-,69.24,0.645,0.326194866,30.19429868,56.6444476,12.83505886
Canada,25/2/2022,68.98,0.85,1.347,-,85.53,0.929,0.769800992,48.18383988,44.90505788,6.141301249
South Africa,25/2/2022,37.96,0.86,2.015,"",33.85,0.709,0.294736842,38.65263158,55.66315789,5.389473684
Egypt,25/2/2022,43.52,0.86,0.445,-,"",0.707,2.429149798,29.95951417,61.53846154,6.072874494
Argentina,25/2/2022,35.19,0.57,2.807,-,89.34,0.845,30.43478261,59.42028986,10.14492754,0.00E+00
Singapore,13/2/2022,60.19,1.41,0.76,"",90.93,0.938,1.937046005,30.02421308,59.8062954,8.232445521
United States,13/2/2022,58.8,0.54,7.207,"",76.21,0.926,0.877639709,50.35479052,43.41855096,5.349018809
Italy,13/2/2022,76.85,0.7,5.31,9.542,83.68,0.892,0.426136364,40.48295455,52.27272727,6.818181818
Germany,13/2/2022,84.26,1.04,2.074,20,75.5,0.947,0.743034056,38.51393189,53.93188854,6.811145511
Norway,13/2/2022,13.89,0.95,1.202,2.981,79.15,0.957,1.953125,38.671875,50.390625,8.984375
United Kingdom,13/2/2022,39.35,0.7,2.626,"",76.99,0.932,0.98265402,45.80307044,46.85977954,6.354495998
Australia,13/2/2022,51.39,0.84,1.972,-,84.97,0.944,0.979653353,45.97672277,46.48748221,6.556141673
Taiwan,13/2/2022,27.78,1.03,0,"",80.55,"",1.621621622,35.67567568,49.72972973,12.97297297
Hong Kong,13/2/2022,65.74,"",0.113,-,74.38,0.949,1.333333333,36.83333333,57.66666667,4.166666667
China,13/2/2022,64.35,2.24,0,-,"",0.761,0.610997963,44.60285132,47.65784114,7.128309572
Brazil,13/2/2022,69.91,0.85,4.112,-,81.41,0.765,0.352733686,32.09876543,61.02292769,6.525573192
France,13/2/2022,69.44,0.68,4.873,25.555,79.94,0.901,0.654664484,39.44353519,52.91871249,6.983087834
New Zealand,13/2/2022,62.04,2.22,0,-,82.45,0.931,1.581920904,42.56120527,49.94350282,5.913370998
South Korea,13/2/2022,46.3,1.58,0.601,"",87.27,0.916,0.934579439,28.03738318,57.00934579,14.01869159
Japan,13/2/2022,47.22,1,1.167,-,80.53,0.919,1.618929016,33.62391034,56.41344956,8.343711083
India,13/2/2022,75.46,0.39,0.629,-,68.75,0.645,0.585236927,34.92542949,57.37209741,7.117236171
Canada,13/2/2022,76.39,0.74,2.338,-,85.29,0.929,0.905910514,52.10090223,41.50248573,5.490701528
South Africa,13/2/2022,41.67,0.9,2.755,"",33.24,0.709,0.509604077,41.94433555,51.11720894,6.428851431
Egypt,13/2/2022,43.52,1,0.488,-,"",0.707,0.934579439,34.57943925,52.80373832,11.68224299
Argentina,13/2/2022,35.19,0.54,4.376,-,88.79,0.845,0.342465753,33.56164384,58.56164384,7.534246575
Singapore,18/1/2022,60.19,1.88,0.131,"",89.33,0.938,1.926782274,36.03082852,56.45472062,5.587668593
United States,18/1/2022,53.24,1.05,5.783,"",75,0.926,0.970443746,45.69743094,45.97527583,7.356849481
Italy,18/1/2022,76.85,1.09,5.362,16.383,82.17,0.892,0.863557858,41.62348877,52.15889465,5.354058722
Germany,18/1/2022,84.26,1.42,2.539,12.443,74.65,0.947,1.129146083,37.96753705,54.05786874,6.84544813
Norway,18/1/2022,48.15,1.43,0.863,"",78.8,0.957,2.298850575,39.08045977,52.87356322,5.747126437
United Kingdom,18/1/2022,48.61,0.86,3.996,"",76.46,0.932,0.917641661,46.14877265,45.8304657,7.103119982
Australia,18/1/2022,63.43,0.97,2.094,-,81.74,0.944,0.753652478,56.95339144,37.50157888,4.791377205
Taiwan,18/1/2022,20.37,1.24,0.006,"",79.22,"",0.913242009,29.6803653,63.01369863,6.392694064
Hong Kong,18/1/2022,65.74,"",0,-,68.4,0.949,0.866336634,39.6039604,54.57920792,4.95049505
China,18/1/2022,79.17,0.8,0,-,"",0.761,0.540540541,34.77477477,61.08108108,3.603603604
Brazil,18/1/2022,61.57,1.8,0.865,-,78.22,0.765,2.952755906,22.63779528,67.32283465,7.086614173
France,18/1/2022,69.44,1.21,3.348,30.91,79.48,0.901,1.069518717,37.09893048,54.67914439,7.152406417
New Zealand,18/1/2022,60.19,1.17,0,-,78.36,0.931,1.28440367,43.91437309,47.70642202,7.094801223
South Korea,18/1/2022,50.93,1.25,0.796,"",86.92,0.916,37.1257485,56.88622754,5.988023952,0.00E+00
Japan,18/1/2022,47.22,2.2,0.045,-,80.32,0.919,0.923787529,28.75288684,65.47344111,4.849884527
India,18/1/2022,72.69,1.47,0.261,-,65.49,0.645,0.425790754,29.06782238,60.89187956,9.614507299
Canada,18/1/2022,70.83,0.81,4.256,-,84.33,0.929,1.141775553,44.04078642,48.29038955,6.52704848
South Africa,18/1/2022,41.67,0.65,2.194,"",32.07,0.709,2.019785655,32.64633141,59.97526793,5.358615004
Egypt,18/1/2022,43.52,1.25,0.262,-,"",0.707,1.117318436,32.40223464,62.5698324,3.910614525
Argentina,18/1/2022,35.19,1.13,2.584,-,87.14,0.845,0.460829493,36.86635945,57.14285714,5.529953917
Singapore,14/2/2022,60.19,1.41,0.838,"",90.98,0.938,0.968992248,25.3875969,63.75968992,9.88372093
United States,14/2/2022,58.8,0.53,7.265,"",76.24,0.926,0.740131579,46.67912679,46.46232057,6.118421053
Italy,14/2/2022,76.85,0.7,5.204,9.426,83.7,0.892,0.272479564,44.00544959,48.91008174,6.811989101
Germany,14/2/2022,84.26,1.03,2.062,20.238,75.51,0.947,1.202843084,35.64789502,55.27610716,7.873154729
Norway,14/2/2022,13.89,0.92,1.202,"",79.16,0.957,1.282051282,37.82051282,50.64102564,10.25641026
United Kingdom,14/2/2022,39.35,0.64,2.606,"",77,0.932,0.834162618,42.32570392,49.68096938,7.159164081
Australia,14/2/2022,51.39,0.87,2.005,-,85.01,0.944,1.070824723,44.83374037,47.2290062,6.866428706
Taiwan,14/2/2022,27.78,1.03,0,"",80.61,"",0.877192982,31.57894737,56.14035088,11.40350877
Hong Kong,14/2/2022,65.74,"",0.151,-,74.91,0.949,0.687757909,30.39889959,62.72352132,6.189821183
China,14/2/2022,64.35,2.28,0,-,"",0.761,1.11662531,35.98014888,57.19602978,5.70719603
Brazil,14/2/2022,69.91,0.83,4.142,-,81.51,0.765,0.793650794,34.12698413,48.61111111,16.46825397
France,14/2/2022,69.44,0.67,4.806,25.303,79.95,0.901,0.641319285,39.62437013,52.3591388,7.375171782
New Zealand,14/2/2022,62.04,2.23,0,-,82.49,0.931,1.372614664,41.04452628,50.55239371,7.03046535
South Korea,14/2/2022,46.3,1.6,0.671,"",87.29,0.916,0.471698113,19.33962264,65.56603774,14.62264151
Japan,14/2/2022,47.22,1.04,1.208,-,80.55,0.919,0.692041522,30.911188,59.63091119,8.765859285
India,14/2/2022,75.46,0.38,0.543,-,68.79,0.645,0.540434313,31.24692935,59.69342635,8.519209983
Canada,14/2/2022,76.39,0.74,2.244,-,85.29,0.929,0.90629275,48.17601459,45.56828545,5.349407205
South Africa,14/2/2022,41.67,0.91,2.924,"",33.28,0.709,0.499843799,45.45454545,48.60980943,5.435801312
Egypt,14/2/2022,43.52,1.07,0.57,-,"",0.707,1.209677419,33.87096774,57.25806452,7.661290323
Argentina,14/2/2022,35.19,0.54,4.404,-,88.85,0.845,32.95774648,51.83098592,15.21126761,0.00E+00
Singapore,15/2/2022,60.19,1.43,0.943,9.168,91.01,0.938,2.046783626,24.12280702,66.66666667,7.16374269
United States,15/2/2022,58.8,0.52,7.087,"",76.27,0.926,1.077314019,44.67049103,48.23719168,6.015003272
Italy,15/2/2022,76.85,0.69,5.14,9.227,83.72,0.892,0.695410292,37.27399166,53.26842837,8.76216968
Germany,15/2/2022,84.26,1.01,2.174,20.119,75.53,0.947,1.318458418,40.11156187,50.9127789,7.657200811
Norway,15/2/2022,13.89,0.9,1.202,"",79.16,0.957,0.689655172,42.06896552,49.65517241,7.586206897
United Kingdom,15/2/2022,29.63,0.66,2.442,"",77.02,0.932,0.989058245,42.71584882,49.15906159,7.136031344
Australia,15/2/2022,51.39,0.88,1.955,-,85.05,0.944,1.466552316,47.3670669,45.18867925,5.977701544
Taiwan,15/2/2022,27.78,1.03,0.006,"",80.67,"",0.425531915,27.23404255,62.9787234,9.361702128
Hong Kong,15/2/2022,65.74,"",0.208,-,75.44,0.949,0.338600451,34.1986456,60.496614,4.966139955
China,15/2/2022,64.35,2.35,0,-,"",0.761,1.492537313,33.73134328,59.25373134,5.52238806
Brazil,15/2/2022,69.91,0.81,3.977,-,81.62,0.765,1.043841336,39.87473904,47.59916493,11.4822547
France,15/2/2022,69.44,0.66,3.341,24.873,79.96,0.901,1.209677419,38.05443548,52.31854839,8.41733871
New Zealand,15/2/2022,62.04,2.25,0,-,82.54,0.931,1.429154757,41.69048591,49.89791752,6.982441813
South Korea,15/2/2022,46.3,1.65,0.721,"",87.31,0.916,2.934537246,23.92776524,60.04514673,13.09255079
Japan,15/2/2022,47.22,1.02,1.295,-,80.56,0.919,1.329243354,31.28834356,59.81595092,7.566462168
India,15/2/2022,71.76,0.37,0.471,-,68.87,0.645,0.64939803,31.71105436,55.99416271,11.6453849
Canada,15/2/2022,76.39,0.72,2.229,-,85.35,0.929,0.916192497,46.49757289,46.97656476,5.609669849
South Africa,15/2/2022,41.67,0.92,2.717,"","",0.709,0.968724052,43.59258234,48.49155826,6.947135345
Egypt,15/2/2022,43.52,1.04,0.565,-,"",0.707,0.760456274,29.27756654,60.45627376,9.505703422
Argentina,15/2/2022,35.19,0.54,4.254,-,88.91,0.845,2.222222222,31.11111111,58.05555556,8.611111111
Singapore,24/2/2022,60.19,1.19,1.179,15.403,91.33,0.938,2.48447205,32.29813665,58.85093168,6.366459627
United States,24/2/2022,58.8,0.57,5.454,"",76.5,0.926,0.745670165,47.22634587,46.05409095,5.973893013
Italy,24/2/2022,76.85,0.74,4.096,7.521,83.84,0.892,1.045751634,42.61437908,50.71895425,5.620915033
Germany,24/2/2022,84.26,0.94,2.413,18.57,75.64,0.947,0.98340504,46.77320221,44.99078058,7.25261217
Norway,24/2/2022,11.11,0.86,1.307,"",79.21,0.957,1.968503937,44.09448819,46.45669291,7.480314961
United Kingdom,24/2/2022,29.63,0.79,1.856,"",77.13,0.932,0.880135317,41.73332187,49.60866948,7.777873341
Australia,24/2/2022,51.39,1.01,1.451,-,85.41,0.944,1.059386778,43.92380564,47.51960884,7.497198737
Taiwan,24/2/2022,27.78,1.04,0,"",81,"",0.561797753,39.88764045,55.61797753,3.93258427
Hong Kong,24/2/2022,71.3,"",3.537,-,80.06,0.949,0.78387458,36.05823068,57.44680851,5.711086226
China,24/2/2022,64.35,2.06,0,-,"",0.761,0.342465753,37.32876712,56.84931507,5.479452055
Brazil,24/2/2022,69.91,0.72,3.703,-,82.79,0.765,0.228832952,37.75743707,45.30892449,16.70480549
France,24/2/2022,69.44,0.69,3.449,16.805,80.02,0.901,0.682056663,41.81532004,47.21930745,10.28331584
New Zealand,24/2/2022,62.04,2.42,0.084,-,82.94,0.931,1.357989021,42.1554464,47.81854955,8.668015025
South Korea,24/2/2022,46.3,1.53,1.392,"",87.43,0.916,1.219512195,30.08130081,62.60162602,6.097560976
Japan,24/2/2022,47.22,0.75,1.739,-,80.66,0.919,1.849710983,36.99421965,51.67630058,9.479768786
India,24/2/2022,71.76,0.34,0.238,-,69.2,0.645,0.645488831,36.89440093,55.46852335,6.991586887
Canada,24/2/2022,68.98,0.84,1.175,-,85.52,0.929,0.904724673,46.59890539,45.92315425,6.573215682
South Africa,24/2/2022,37.96,0.87,2.529,"","",0.709,0.485773768,43.71963914,49.10941476,6.685172334
Egypt,24/2/2022,43.52,0.88,0.475,-,"",0.707,0.833333333,33.61111111,55,10.55555556
Argentina,24/2/2022,35.19,0.58,2.97,-,89.29,0.845,1.166180758,32.36151603,51.60349854,14.86880466
